ticker,country,complete,completion_pct,missing
DRI,US,non,80,ir_page_snapshot
DTE,US,non,80,ir_page_snapshot
DTEGF,FPI,OUI,100,
DTEGY,FPI,OUI,100,
DUK,US,non,60,ir_page_snapshot|home_page_snapshot
DVA,US,OUI,100,
DVN,US,non,80,ir_page_snapshot
DXCM,US,OUI,100,
DY,US,non,80,ir_page_snapshot
EA,US,non,80,ir_page_snapshot
EBAY,US,non,60,ir_page_snapshot|home_page_snapshot
ECL,US,non,60,ir_page_snapshot|home_page_snapshot
ED,US,non,80,ir_page_snapshot
EDP.LS,EU,OUI,100,
EDPFY,FPI,OUI,100,
EFX,US,non,80,ir_page_snapshot
EG,US,OUI,100,
EIPAF,FPI,non,67,ir_page_snapshot
EIX,US,OUI,100,
EL,US,OUI,100,
ELAN,US,OUI,100,
ELV,US,non,80,ir_page_snapshot
EME,US,OUI,100,
EMR,US,OUI,100,
ENTG,US,non,80,ir_page_snapshot
EOG,US,OUI,100,
EPAM,US,non,60,ir_page_snapshot|home_page_snapshot
EQIX,US,OUI,100,
EQNR.OL,EU,OUI,100,
EQR,US,non,60,ir_page_snapshot|home_page_snapshot
EQT,US,non,80,ir_page_snapshot
ERF.PA,EU,OUI,100,
ERIE,US,non,80,proxy_statement
ES,US,non,60,ir_page_snapshot|home_page_snapshot
ESS,US,non,60,ir_page_snapshot|home_page_snapshot
ETN,US,non,60,ir_page_snapshot|home_page_snapshot
ETR,US,non,80,ir_page_snapshot
EVRG,US,non,60,ir_page_snapshot|home_page_snapshot
EW,US,OUI,100,
EXC,US,non,80,ir_page_snapshot
EXE,US,OUI,100,
EXPD,US,OUI,100,
EXPE,US,OUI,100,
EXR,US,non,60,ir_page_snapshot|home_page_snapshot
F,US,non,60,ir_page_snapshot|home_page_snapshot
FANG,US,non,60,ir_page_snapshot|home_page_snapshot
FAST,US,non,60,ir_page_snapshot|home_page_snapshot
FCX,US,non,80,ir_page_snapshot
FDS,US,non,80,ir_page_snapshot
FDX,US,non,80,ir_page_snapshot
FE,US,OUI,100,
FFIV,US,OUI,100,
FHN,US,OUI,100,
FICO,US,OUI,100,
FIS,US,non,60,ir_page_snapshot|home_page_snapshot
FISV,US,non,60,ir_page_snapshot|home_page_snapshot
FITB,US,non,80,ir_page_snapshot
FIX,US,non,80,ir_page_snapshot
FLTR.L,UK,OUI,100,
FORTUM.HE,EU,OUI,100,
FOX,US,OUI,100,
FOXA,US,OUI,100,
FRE.DE,EU,OUI,100,
FRES.L,UK,OUI,100,
FRT,US,OUI,100,
FSLR,US,OUI,100,
FTNT,US,non,80,ir_page_snapshot
FTV,US,non,80,ir_page_snapshot
FUTU,FPI,non,67,ir_page_snapshot
GD,US,non,80,ir_page_snapshot
GDDY,US,non,60,ir_page_snapshot|home_page_snapshot
GE,US,OUI,100,
GEHC,US,non,80,ir_page_snapshot
GEN,US,non,80,ir_page_snapshot
GEV,US,OUI,100,
GILD,US,non,80,ir_page_snapshot
GIS,US,non,80,ir_page_snapshot
GL,US,OUI,100,
GLEN.L,UK,OUI,100,
GLPI,US,OUI,100,
GLW,US,non,60,ir_page_snapshot|home_page_snapshot
GM,US,non,80,ir_page_snapshot
GNRC,US,OUI,100,
GOOG,US,non,60,ir_page_snapshot|home_page_snapshot
GOOGL,US,non,60,ir_page_snapshot|home_page_snapshot
GPC,US,non,80,ir_page_snapshot
GPN,US,non,60,ir_page_snapshot|home_page_snapshot
GRAB,FPI,OUI,100,
GRMN,US,OUI,100,
GS,US,OUI,100,
GWW,US,non,80,ir_page_snapshot
HAL,US,non,80,ir_page_snapshot
HAS,US,non,80,ir_page_snapshot
HBAN,US,non,60,ir_page_snapshot|home_page_snapshot
HCA,US,OUI,100,
HD,US,non,60,ir_page_snapshot|home_page_snapshot
HEN.DE,EU,OUI,100,
HEXA-B.ST,EU,non,33,ir_page_snapshot|home_page_snapshot
HIG,US,non,80,ir_page_snapshot
HII,US,non,80,ir_page_snapshot
HLI,US,non,60,ir_page_snapshot|home_page_snapshot
HLN.L,UK,non,67,ir_page_snapshot
HLT,US,non,60,ir_page_snapshot|home_page_snapshot
HON,US,OUI,100,
HOOD,US,OUI,100,
HPE,US,non,60,ir_page_snapshot|home_page_snapshot
HPQ,US,non,80,ir_page_snapshot
HRL,US,non,80,ir_page_snapshot
HSIC,US,non,80,ir_page_snapshot
HST,US,OUI,100,
HSY,US,OUI,100,
HUBB,US,non,80,ir_page_snapshot
HUM,US,non,80,ir_page_snapshot
HWM,US,OUI,100,
IBKR,US,non,80,ir_page_snapshot
IBM,US,OUI,100,
ICE,US,OUI,100,
IDXX,US,OUI,100,
IEX,US,OUI,100,
IFF,US,non,60,ir_page_snapshot|home_page_snapshot
III.L,UK,non,33,ir_page_snapshot|home_page_snapshot
ILMN,US,non,80,ir_page_snapshot
INCY,US,non,80,ir_page_snapshot
INGA.AS,EU,OUI,100,
INTC,US,non,60,ir_page_snapshot|home_page_snapshot
INTU,US,OUI,100,
INVH,US,non,80,ir_page_snapshot
IP,US,OUI,100,
IQV,US,OUI,100,
IR,US,non,60,ir_page_snapshot|home_page_snapshot
IRM,US,non,60,ir_page_snapshot|home_page_snapshot
ISP.MI,EU,non,67,ir_page_snapshot
ISRG,US,non,60,ir_page_snapshot|home_page_snapshot
IT,US,non,60,ir_page_snapshot|home_page_snapshot
ITRK.L,UK,OUI,100,
ITW,US,non,80,ir_page_snapshot
IVZ,US,OUI,100,
J,US,non,80,ir_page_snapshot
JAZZ,US,non,80,ir_page_snapshot
JBHT,US,non,80,ir_page_snapshot
JBL,US,non,80,ir_page_snapshot
JCI,US,OUI,100,
JDEP.AS,EU,OUI,100,
JEF,US,non,80,ir_page_snapshot
JKHY,US,non,80,ir_page_snapshot
JNJ,US,non,60,ir_page_snapshot|home_page_snapshot
JPM,US,OUI,100,
KDP,US,OUI,100,
KER.PA,EU,non,67,ir_page_snapshot
KESKOB.HE,EU,OUI,100,
KEY,US,non,60,ir_page_snapshot|home_page_snapshot
KEYS,US,non,60,ir_page_snapshot|home_page_snapshot
KHC,US,non,80,ir_page_snapshot
KIM,US,OUI,100,
KKR,US,OUI,100,
KLAC,US,OUI,100,
KMB,US,non,60,ir_page_snapshot|home_page_snapshot
KMI,US,non,80,ir_page_snapshot
KO,US,OUI,100,
KOG.OL,EU,OUI,100,
KR,US,non,80,ir_page_snapshot
KVUE,US,non,80,ir_page_snapshot
L,US,non,80,ir_page_snapshot
LDOS,US,non,80,ir_page_snapshot
LEN,US,non,60,ir_page_snapshot|home_page_snapshot
LH,US,OUI,100,
LHX,US,OUI,100,
LI.PA,EU,OUI,100,
LII,US,OUI,100,
LIN,US,OUI,100,
LITE,US,OUI,100,
LLY,US,non,60,ir_page_snapshot|home_page_snapshot
LMT,US,non,80,ir_page_snapshot
LNT,US,OUI,100,
LOGN.SW,EU,non,67,ir_page_snapshot
LONN.SW,EU,non,33,ir_page_snapshot|home_page_snapshot
LOW,US,OUI,100,
LRCX,US,OUI,100,
LULU,US,OUI,100,
LUV,US,non,80,ir_page_snapshot
LVS,US,non,60,ir_page_snapshot|home_page_snapshot
LYB,US,non,80,ir_page_snapshot
LYV,US,OUI,100,
MA,US,non,60,ir_page_snapshot|home_page_snapshot
MAA,US,non,80,ir_page_snapshot
MAP.MC,EU,non,67,ir_page_snapshot
MAR,US,non,60,ir_page_snapshot|home_page_snapshot
MAS,US,non,80,ir_page_snapshot
MB.MI,EU,OUI,100,
MCD,US,non,80,ir_page_snapshot
MCHP,US,non,60,ir_page_snapshot|home_page_snapshot
MCK,US,non,80,ir_page_snapshot
MCO,US,non,80,ir_page_snapshot
MDLZ,US,OUI,100,
MDT,US,non,80,ir_page_snapshot
MEDP,US,non,80,ir_page_snapshot
MET,US,non,80,ir_page_snapshot
META,US,non,60,ir_page_snapshot|home_page_snapshot
MGM,US,non,60,ir_page_snapshot|home_page_snapshot
MKC,US,non,80,ir_page_snapshot
MKSI,US,non,80,ir_page_snapshot
MLM,US,OUI,100,
MMM,US,non,80,ir_page_snapshot
MNST,US,non,60,ir_page_snapshot|home_page_snapshot
MO,US,OUI,100,
MOS,US,OUI,100,
MPC,US,non,60,ir_page_snapshot|home_page_snapshot
MPWR,US,non,80,ir_page_snapshot
MRK,US,non,60,ir_page_snapshot|home_page_snapshot
MRK.DE,EU,OUI,100,
MRNA,US,non,80,ir_page_snapshot
MRSH,US,OUI,100,
MS,US,non,80,ir_page_snapshot
MSCI,US,non,80,ir_page_snapshot
MSFT,US,OUI,100,
MSI,US,OUI,100,
MSTR,US,OUI,100,
MTB,US,non,80,ir_page_snapshot
MTD,US,non,60,ir_page_snapshot|home_page_snapshot
