RFS	HY2023	2023-07-26	https://www.airbus.com/sites/g/files/jlcbta136/files/2023-07/Airbus_SN_H1_2023_0.pdf
RFS	HY2024	2024-07-30	https://www.airbus.com/sites/g/files/jlcbta136/files/2024-07/H1%2724_Airbus%20Financial%20Statements.pdf
RFS	HY2025	2025-07-30	https://www.airbus.com/sites/g/files/jlcbta136/files/2025-07/airbus_financial_statements_h125.pdf
SLIDES	FY2021	2022-02-17	https://www.airbus.com/sites/g/files/jlcbta136/files/2022-03/Airbus%20FY2021%20Results%20Presentation.pdf
SLIDES	HY2021	2021-07-29	https://www.airbus.com/sites/g/files/jlcbta136/files/2021-10/Airbus-H12021-Presentation.pdf
SLIDES	Q1-2021	2021-04-29	https://www.airbus.com/sites/g/files/jlcbta136/files/2021-06/Airbus-Q12021-Presentation.pdf
SLIDES	T3-2021	2021-10-28	https://www.airbus.com/sites/g/files/jlcbta136/files/2021-10/Airbus-9m2021-Presentation.pdf
SLIDES	FY2022	2023-02-16	https://www.airbus.com/sites/g/files/jlcbta136/files/2023-02/Airbus%20FY%202022%20Results%20Presentation_0.pdf
SLIDES	HY2022	2022-07-27	https://www.airbus.com/sites/g/files/jlcbta136/files/2022-07/Airbus%20H1%202022%20Presentation.pdf
SLIDES	Q1-2022	2022-05-04	https://www.airbus.com/sites/g/files/jlcbta136/files/2022-05/Airbus_Q1%202022%20Presentation.pdf
SLIDES	T3-2022	2022-10-28	https://www.airbus.com/sites/g/files/jlcbta136/files/2022-10/Airbus%209m%202022%20Presentation.pdf
SLIDES	FY2023	2024-02-15	https://www.airbus.com/sites/g/files/jlcbta136/files/2024-02/Airbus_FY_2023_Presentation.pdf
SLIDES	HY2023	2023-07-26	https://www.airbus.com/sites/g/files/jlcbta136/files/2023-07/Airbus_H1_2023_Presentation.pdf
SLIDES	Q1-2023	2023-05-03	https://www.airbus.com/sites/g/files/jlcbta136/files/2023-05/Airbus%20Q1%202023%20Results%20Release%20Presentation.pdf
SLIDES	T3-2023	2023-11-08	https://www.airbus.com/sites/g/files/jlcbta136/files/2023-11/Airbus_9m_2023_Presentation.pdf
SLIDES	FY2024	2025-02-20	https://www.airbus.com/sites/g/files/jlcbta136/files/2026-02/1_airbus_fy_2024_presentation.pdf
SLIDES	HY2024	2024-07-30	https://www.airbus.com/sites/g/files/jlcbta136/files/2024-09/Airbus_H1_2024%20Presentation.pdf
SLIDES	Q1-2024	2024-04-25	https://www.airbus.com/sites/g/files/jlcbta136/files/2024-04/Airbus_Q1_2024_PRESENTATION_vr.pdf
SLIDES	T3-2024	2024-10-30	https://www.airbus.com/sites/g/files/jlcbta136/files/2024-10/Airbus_9m_2024_FINAL-for%20publication.pdf
SLIDES	FY2025	2026-02-19	https://www.airbus.com/sites/g/files/jlcbta136/files/2026-03/airbus_fy_2025_final_for_publication.pdf
SLIDES	HY2025	2025-07-30	https://www.airbus.com/sites/g/files/jlcbta136/files/2025-07/airbus_h1_2025.pdf
SLIDES	Q1-2025	2025-04-30	https://www.airbus.com/sites/g/files/jlcbta136/files/2025-04/airbus_q1_2025_for_publication.pdf
SLIDES	T3-2025	2025-10-29	https://www.airbus.com/sites/g/files/jlcbta136/files/2025-10/airbus_9m_2025_presentation.pdf
